SettingID;SampleID;Sample;prep_number;process_tool;taxonomy
VU11;VU11_MOCK_B;MOCK_B;PREP9;vsearch;sintax
VU11;VU11_MOCK_C;MOCK_C;PREP9;vsearch;sintax
VU12;VU12_MOCK_A;MOCK_A;PREP9;vsearch;qiime_taxonomy
VU12;VU12_MOCK_B;MOCK_B;PREP9;vsearch;qiime_taxonomy
VU12;VU12_MOCK_C;MOCK_C;PREP9;vsearch;qiime_taxonomy
VU13;VU13_MOCK_A;MOCK_A;PREP10;vsearch;idtaxa
VU13;VU13_MOCK_B;MOCK_B;PREP10;vsearch;idtaxa
VU13;VU13_MOCK_C;MOCK_C;PREP10;vsearch;idtaxa
VU14;VU14_MOCK_A;MOCK_A;PREP10;vsearch;assigntaxonomy
VU14;VU14_MOCK_B;MOCK_B;PREP10;vsearch;assigntaxonomy
VU14;VU14_MOCK_C;MOCK_C;PREP10;vsearch;assigntaxonomy
VU15;VU15_MOCK_A;MOCK_A;PREP10;vsearch;sintax
VU15;VU15_MOCK_B;MOCK_B;PREP10;vsearch;sintax
VU15;VU15_MOCK_C;MOCK_C;PREP10;vsearch;sintax
VU16;VU16_MOCK_A;MOCK_A;PREP10;vsearch;qiime_taxonomy
VU16;VU16_MOCK_B;MOCK_B;PREP10;vsearch;qiime_taxonomy
VU16;VU16_MOCK_C;MOCK_C;PREP10;vsearch;qiime_taxonomy
VU17;VU17_MOCK_A;MOCK_A;PREP11;vsearch;idtaxa
VU17;VU17_MOCK_B;MOCK_B;PREP11;vsearch;idtaxa
VU17;VU17_MOCK_C;MOCK_C;PREP11;vsearch;idtaxa
VU18;VU18_MOCK_A;MOCK_A;PREP11;vsearch;assigntaxonomy
VU18;VU18_MOCK_B;MOCK_B;PREP11;vsearch;assigntaxonomy
VU18;VU18_MOCK_C;MOCK_C;PREP11;vsearch;assigntaxonomy
VU19;VU19_MOCK_A;MOCK_A;PREP11;vsearch;sintax
VU19;VU19_MOCK_B;MOCK_B;PREP11;vsearch;sintax
VU19;VU19_MOCK_C;MOCK_C;PREP11;vsearch;sintax
VU2;VU2_MOCK_A;MOCK_A;PREP7;vsearch;assigntaxonomy
VU2;VU2_MOCK_B;MOCK_B;PREP7;vsearch;assigntaxonomy
VU2;VU2_MOCK_C;MOCK_C;PREP7;vsearch;assigntaxonomy
VU20;VU20_MOCK_A;MOCK_A;PREP11;vsearch;qiime_taxonomy
VU20;VU20_MOCK_B;MOCK_B;PREP11;vsearch;qiime_taxonomy
VU20;VU20_MOCK_C;MOCK_C;PREP11;vsearch;qiime_taxonomy
VU21;VU21_MOCK_A;MOCK_A;PREP12;vsearch;idtaxa
VU21;VU21_MOCK_B;MOCK_B;PREP12;vsearch;idtaxa
VU21;VU21_MOCK_C;MOCK_C;PREP12;vsearch;idtaxa
VU22;VU22_MOCK_A;MOCK_A;PREP12;vsearch;assigntaxonomy
VU22;VU22_MOCK_B;MOCK_B;PREP12;vsearch;assigntaxonomy
VU22;VU22_MOCK_C;MOCK_C;PREP12;vsearch;assigntaxonomy
VU23;VU23_MOCK_A;MOCK_A;PREP12;vsearch;sintax
VU23;VU23_MOCK_B;MOCK_B;PREP12;vsearch;sintax
VU23;VU23_MOCK_C;MOCK_C;PREP12;vsearch;sintax
VU24;VU24_MOCK_A;MOCK_A;PREP12;vsearch;qiime_taxonomy
VU24;VU24_MOCK_B;MOCK_B;PREP12;vsearch;qiime_taxonomy
VU24;VU24_MOCK_C;MOCK_C;PREP12;vsearch;qiime_taxonomy
VU25;VU25_MOCK_A;MOCK_A;PREP13;vsearch;idtaxa
VU25;VU25_MOCK_B;MOCK_B;PREP13;vsearch;idtaxa
VU25;VU25_MOCK_C;MOCK_C;PREP13;vsearch;idtaxa
